Product Name,Product ID,Category,How likely are you to recommend this product?,"Complete - Yes/No. If No, please provide rationale","Comments"
ASDA Free From Free From by 2 Plain Naans 200g,100001017,BREAD,10 = Extremely likely,Yes,"(one of my team took this home) Excellent gluten free substitute for naan brad; thin and crispy when baked, I would've believed this was the real deal if I hadn't known it was a GF product. Will definitely be purchasing going forward. "
ASDA Protein Sweet Chilli Prawn on Oatmeal Bread 183g,100542307,MAIN,5,Yes,"*Please note* This review is for Exceptional by ASDA King Prawn Cocktail on Malted Bread. Was unable to find Protein Prawn Sandwich. Please update the article to the Exceptional prawn sandwich.  Prawns were crunchy and decent size and the bread was nice and soft however, the Marie rose sauce was quite bland, lacking lemon or Worcestershire sauce for the bite at the end of the flavour profile. Increased pepper would be nice. Lettuce looked and tasted soggy."
ES MARTINI SCESPR 70CL,100140330,RTD,N/A,No - Store/Online doesn't stock,? on what the benchmark was.  was asked to review a branded  item - did not purchase and review with team as this is alcohol.
ASDA Protein Salt & Pepper Chicken Pizza 257g,100543172,BOXED PIZZA,8,Yes,@�3 and 31g of protein the pizza looked great and had plenty of chicken 
ASDA Apple Juice from Concentrate 150ml,100113468,KIDS AND LUNCHBOX.,10 = Extremely likely,Yes,"�1.02 good value versus competitors, nimble for pack lunches and straw effective doesnt dissolve as soon as you use like others. "
ASDA SELECTION INDIAN 390G,100171848,XMAS,8,Yes,�3 value for money worked well to combine with a family curry - would be good to have an option to add a dip for �x
ASDA DICED LAMB  300G,100167706,LAMB,2,Yes,"�7.44 for 300g diced lamb. Not enough to feed a family of 4. 1 very fatty piece unusable (weighed 17g!). Big variation in piece size from small bits to large that need to be cut down. Used in a curry. Meat tender and flavourful but due to price, fattiness and piece size would not buy."
Bistro Chicken Chcken 500G,100519240,PIES,6,Yes,"?	Taste: Good, pastry was flaky and had a good colour. The pie content itself could do with more meat i.e it was shredded chicken & ham so you ended up not having that much meat and there was a big air pocket between the meat and the pastry. I would also prefer a little bit more sauce in the pie as it did require separate gravy to make it less dry. 
?	Value: �6 a pie. Slightly expensive given the meat content. I also think the portion for 4 people was a push i.e it would not be enough food for 4 adults 
?	Availability - I had to go to 2 separate shops to find the product. "
ASDA Crisp & Nutty Sugarsnap Peas 160g,100394062,VEGETABLES,9,Yes,"?	Taste: Tasted fresh and the sugar snap pea had a lovely crunch when eaten raw. 
?	Value: Greate value for money 
?	Downfall: I do not understand why the title of the product has the word 'nutty' there was nothing 'nutty' about the product and this may put a few people off due to nut allergies etc "
ASDA CHILLI APACHE  EACH,100174207,TROLLIES,N/A,No - Out of stock,0 pi no sales or expected delivery data
